千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,你打球太美 [可爱],1488141948,0,2019-05-13 17:29:01
Adrlie,323068802,0,1,441200,,北京时间2019年3月9日《出山》原曲《Super Love》的作者BachBeats（Johann)通過电子邮件对我方表示：因无法承担昂贵的诉讼费用和时间成本，暂时停止诉讼，但表示依然保留在未来继续追究的权利。请求下架此曲@网易云音乐@曲库小护士@云音乐小秘书（复制请愿）请做对的事。尊重原作者 谢谢！！！,1488194507,6,2019-05-13 17:28:36
千寒为冬,381995962,0,1,230200,（出山）花粥，这首歌。请大家注意，那个隐形音乐家，一直在用版权、法律、阴谋论，甚至连外国人都拿来用，洗白能力十级。大家不要被他的话误导了。记住这一点他就没得洗：这是不是一首外国曲子加上中文填词的中国原创。是还是不是！？他的所有言论用这句回复他就行,无知者就是6,1488161660,2,2019-05-13 17:28:24
伯庸丶子,491768786,0,1,110101,,你打球的样子真像CXK，鸡你太美，小妹妹你满18没哦,1488185527,3,2019-05-13 17:27:53
有梦想的哈士奇丶,135009819,20,1,150200,“旧念往忆无处躲，只愿去路平坦成河。”,你怎么能说出这种话，你。。。哦你粉菜虚鲲啊？那没事了。🤗🤗,1488151810,6,2019-05-13 17:27:10
big_sad,60288083,24,1,330100,纵使相逢应不识， 尘满面，鬓如霜。,超越原唱还行，根本就没有原唱，原作就是个纯音乐[大笑],1488150789,1,2019-05-13 17:26:15
麻麻麻麻威猛先生,62607014,0,1,100,，,火箭凉了,1488154774,1,2019-05-13 17:25:35
111忘卿,1540355835,0,2,230800,,无语，护主到挺厉害[奸笑]呵呵,1488176527,0,2019-05-13 17:24:08
隆飘哪方,1679807632,0,1,130100,,歌不错，既然事情来了就不要再遮掩了，词曲不是自己的歌手多了，才华会被人艳羡，但是虚伪惹人厌,1488151780,5,2019-05-13 17:23:56
邢考拉,61942868,24,1,320100,这个人不喜欢说话，所以不介绍自己。,写歌的人装模作样的瞎掰，不知悔改试图在迷雾中混淆黑白。听歌的人在市侩里装情怀，本就荒唐古怪还旁人不敢来拆穿。——知乎·创业路一号,1488136805,4,2019-05-13 17:19:42
篮球尸体,1426629462,0,0,450100,,其实挺好听的，她也道歉了，为什么一定要下架啊，很喜欢听，，赔偿处理好就行了,1488157590,0,2019-05-13 17:17:53
禾女鬼竹夭,1380029600,0,1,411500,,你是不是每一首歌下面都留的这个评论啊,1488155687,2,2019-05-13 17:17:21
马公子2333,121659304,19,1,230100,“地心引力抓不住我(๑•̀ㅂ•́)و✧”,实则在顶风作案,1488115267,5,2019-05-13 17:17:13
六斤辰喝了3米3,1325012393,0,2,100,粥,您连作曲和编曲的区别都分不清呢。,1488165552,0,2019-05-13 17:17:10
隔壁野生老张,496002289,0,1,510100,,北京时间2019年3月9日《出山》原曲《Super Love》的作者BachBeats（Johann)通過电子邮件对我方表示：因无法承担昂贵的诉讼费用和时间成本，暂时停止诉讼，但表示依然保留在未来继续追究的权利。请求下架此曲@网易云音乐@曲库小护士@云音乐小秘书（复制请愿）请做对的事。请大家不要冷漠 谢谢！！！,1488107214,6,2019-05-13 17:16:41
ikun家的茹妍,403457851,28,2,469001,,不用和那群黑子计较 花粥不过借鉴了几首外国冷门歌 就被不停拿来说事 还被逼迫要补偿版权费 拜托 歌都是我们花大爷唱火的 钱当然也归她 谁也别来倒贴好吗。不听请 G U N ，我路人都看不惯了,1488113219,2,2019-05-13 17:14:36
--牙仙--,393243807,0,2,100,,洗地蛆你真棒[强]🏻,1488134684,2,2019-05-13 17:13:40
